iter	Passed	Remaining
0	0	68
1	1	61
2	1	58
3	2	54
4	2	54
5	3	55
6	4	55
7	4	55
8	5	55
9	6	54
10	6	53
11	7	52
12	7	51
13	8	50
14	8	50
15	9	50
16	10	49
17	10	49
18	11	48
19	12	48
20	12	47
21	13	46
22	13	46
23	14	45
24	14	44
25	15	44
26	16	44
27	16	43
28	17	43
29	18	42
30	18	41
31	19	41
32	20	40
33	20	40
34	21	39
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	25	36
41	25	35
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	41	19
68	41	18
69	42	18
70	43	17
71	43	17
72	44	16
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	65	10
86	66	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	72	1
98	73	0
99	73	0
