iter	Passed	Remaining
0	139	139548
1	140	70077
2	141	46902
3	141	35316
4	142	28357
5	143	23754
6	144	20429
7	144	17931
8	145	15988
9	145	14438
10	146	13173
11	147	12119
12	147	11227
13	148	10474
14	149	9810
15	150	9225
16	150	8706
17	151	8247
18	151	7837
19	152	7474
20	153	7141
21	153	6836
22	154	6564
23	155	6313
24	155	6079
25	156	5864
26	157	5661
27	157	5474
28	158	5301
29	158	5140
30	159	4988
31	160	4849
32	161	4718
33	161	4597
34	162	4480
35	163	4369
36	164	4281
37	165	4180
38	165	4084
39	166	3993
40	167	3910
41	167	3828
42	168	3749
43	169	3676
44	169	3605
45	170	3537
46	171	3472
47	171	3411
48	172	3350
49	173	3292
50	173	3237
51	174	3184
52	175	3132
53	175	3081
54	176	3033
55	177	2986
56	177	2940
57	178	2897
58	179	2855
59	179	2814
60	180	2774
61	180	2735
62	181	2696
63	181	2659
64	182	2624
65	182	2589
66	183	2556
67	184	2523
68	184	2492
69	185	2461
70	185	2433
71	186	2404
72	187	2376
73	187	2349
74	188	2322
75	188	2295
76	189	2270
77	189	2245
78	190	2221
79	191	2198
80	191	2176
81	192	2154
82	192	2130
83	193	2108
84	194	2088
85	194	2068
86	195	2049
87	195	2030
88	196	2012
89	197	1994
90	197	1976
91	198	1959
92	199	1943
93	199	1926
94	200	1910
95	201	1894
96	201	1877
97	202	1862
98	202	1846
99	203	1832
100	204	1818
101	204	1804
102	205	1790
103	206	1777
104	207	1764
105	207	1751
106	208	1738
107	208	1725
108	209	1711
109	210	1699
110	210	1687
111	211	1675
112	211	1663
113	212	1651
114	213	1639
115	213	1627
116	214	1615
117	214	1603
118	215	1592
119	215	1581
120	216	1571
121	216	1560
122	217	1550
123	218	1540
124	218	1529
125	219	1519
126	219	1509
127	220	1500
128	220	1490
129	221	1481
130	221	1472
131	222	1463
132	223	1455
133	223	1446
134	224	1437
135	224	1429
136	225	1420
137	226	1412
138	226	1404
139	227	1395
140	227	1387
141	228	1378
142	228	1371
143	229	1364
144	230	1357
145	230	1349
146	231	1342
147	231	1334
148	232	1327
149	232	1320
150	233	1313
151	234	1305
152	234	1298
153	235	1292
154	235	1286
155	236	1279
156	237	1273
157	237	1267
158	238	1260
159	238	1254
160	239	1247
161	239	1241
162	240	1234
163	241	1228
164	241	1223
165	242	1220
166	243	1215
167	244	1209
168	244	1203
169	245	1198
170	245	1192
171	246	1186
172	247	1180
173	247	1175
174	248	1171
175	249	1166
176	249	1161
177	250	1155
178	250	1150
179	251	1146
180	252	1141
181	252	1136
182	253	1131
183	254	1130
184	255	1125
185	256	1120
186	256	1116
187	257	1111
188	257	1107
189	258	1102
190	259	1097
191	259	1093
192	260	1088
193	261	1084
194	261	1080
195	262	1076
196	263	1072
197	263	1068
198	264	1063
199	264	1059
200	265	1055
201	266	1051
202	266	1047
203	267	1043
204	267	1039
205	268	1035
206	269	1030
207	269	1026
208	270	1022
209	270	1019
210	271	1015
211	272	1011
212	272	1007
213	273	1004
214	273	1000
215	274	996
216	275	992
217	275	988
218	276	985
219	276	981
220	277	978
221	278	974
222	278	971
223	279	967
224	279	964
225	280	961
226	281	957
227	281	954
228	282	950
229	282	947
230	283	943
231	284	940
232	284	937
233	285	933
234	285	930
235	286	927
236	287	924
237	287	921
238	288	918
239	288	914
240	289	911
241	290	908
242	290	905
243	291	902
244	291	899
245	292	896
246	293	893
247	293	890
248	294	887
249	294	884
250	295	881
251	295	878
252	296	875
253	297	872
254	297	869
255	298	866
256	298	864
257	299	861
258	300	858
259	300	856
260	301	853
261	302	850
262	302	848
263	303	845
264	303	842
265	304	840
266	305	837
267	305	835
268	306	832
269	307	830
270	307	827
271	308	824
272	308	822
273	309	819
274	310	817
275	310	815
276	311	813
277	312	810
278	312	807
279	313	805
280	313	802
281	314	800
282	314	797
283	315	795
284	315	792
285	316	790
286	317	788
287	317	785
288	318	783
289	318	780
290	319	778
291	320	776
292	320	774
293	321	772
294	322	769
295	322	767
296	323	765
297	324	763
298	324	761
299	325	758
300	325	756
301	326	754
302	327	752
303	327	750
304	328	748
305	328	745
306	329	743
307	330	742
308	330	740
309	331	737
310	332	735
311	332	733
312	333	731
313	333	729
314	334	727
315	335	725
316	335	723
317	336	721
318	336	719
319	337	717
320	338	715
321	338	713
322	339	711
323	339	709
324	340	707
325	341	705
326	341	703
327	342	701
328	342	699
329	343	697
330	344	695
331	344	693
332	345	691
333	345	689
334	346	687
335	346	685
336	347	683
337	348	681
338	348	680
339	349	678
340	349	676
341	350	674
342	351	672
343	351	670
344	352	668
345	352	666
346	353	664
347	353	662
348	354	661
349	355	659
350	355	657
351	356	656
352	356	654
353	357	652
354	358	650
355	358	648
356	359	646
357	359	645
358	360	643
359	361	641
360	361	640
361	362	638
362	363	637
363	363	635
364	364	634
365	365	632
366	365	631
367	366	629
368	367	627
369	367	626
370	368	624
371	368	622
372	369	621
373	370	619
374	370	617
375	371	615
376	371	614
377	372	612
378	372	610
379	373	609
380	374	607
381	374	606
382	375	604
383	376	603
384	376	601
385	377	600
386	378	598
387	378	597
388	379	595
389	380	594
390	380	592
391	381	591
392	381	589
393	382	588
394	383	586
395	383	585
396	384	583
397	384	582
398	385	580
399	386	579
400	386	577
401	387	576
402	387	574
403	388	573
404	388	571
405	389	569
406	390	568
407	390	566
408	391	565
409	391	563
410	392	562
411	393	561
412	393	559
413	394	558
414	394	556
415	395	555
416	396	553
417	396	552
418	397	550
419	397	549
420	398	547
421	399	546
422	399	545
423	400	543
424	400	542
425	401	540
426	402	539
427	402	538
428	403	536
429	403	535
430	404	534
431	405	532
432	405	531
433	406	530
434	407	528
435	407	527
436	408	526
437	409	524
438	409	523
439	410	522
440	410	520
441	411	519
442	412	518
443	412	517
444	413	515
445	414	514
446	414	513
447	415	511
448	415	510
449	416	509
450	417	507
451	417	506
452	418	505
453	419	504
454	419	502
455	420	501
456	420	500
457	421	498
458	422	497
